20
0
10
450
1
1
0.5
1
1
inf	63.6396	72.5328	29.7321	19.1050	73.6817	54.7449	38.1838	14.0000	51.2445	67.1863	65.0000	41.4367	70.2353	57.0351	70.0928	40.1995	35.4401	29.0689	64.5368
63.6396	inf	113.8640	91.0055	70.7743	109.7862	95.6713	50.9117	63.1981	15.2315	101.9804	7.0000	24.5153	42.0119	12.5300	111.0360	83.0060	29.0172	92.6553	5.0000
72.5328	113.8640	inf	80.5047	53.7587	9.4868	18.8680	62.9682	86.1220	108.8531	14.3178	118.8276	102.0784	89.0505	101.9804	2.8284	33.5410	95.9635	68.7314	117.3882
29.7321	91.0055	80.5047	inf	38.9487	84.9294	66.7608	66.2873	28.2843	77.1622	80.3617	91.1976	67.1193	99.7447	85.8429	78.7718	55.4617	62.0000	12.0416	91.0879
19.1050	70.7743	53.7587	38.9487	inf	54.5894	35.6931	30.0832	33.0606	61.2944	48.0937	73.8241	52.6308	65.5134	61.4003	51.2445	21.0950	46.2277	31.9061	72.8972
73.6817	109.7862	9.4868	84.9294	54.5894	inf	19.0263	59.0339	87.5728	105.9481	7.8102	115.1086	99.8499	82.3650	97.6217	8.6023	33.5410	93.9415	73.4983	113.5694
54.7449	95.6713	18.8680	66.7608	35.6931	19.0263	inf	45.0000	68.5930	90.1388	13.6015	100.4191	83.2346	74.0405	84.0238	16.1245	14.8661	77.1038	55.7136	99.0353
38.1838	50.9117	62.9682	66.2873	30.0832	59.0339	45.0000	inf	49.0918	47.4131	51.2250	56.0803	42.7200	35.5106	39.0512	60.1415	33.6155	37.6563	61.3270	54.5619
14.0000	63.1981	86.1220	28.2843	33.0606	87.5728	68.5930	49.0918	inf	49.0102	81.1542	63.0317	39.0000	77.8010	59.2030	83.7437	54.1479	34.2345	33.1210	63.0000
51.2445	15.2315	108.8531	77.1622	61.2944	105.9481	90.1388	47.4131	49.0102	inf	98.1835	14.0357	10.0499	49.7293	18.7883	106.0424	76.3806	15.8114	79.8311	14.0357
67.1863	101.9804	14.3178	80.3617	48.0937	7.8102	13.6015	51.2250	81.1542	98.1835	inf	107.2986	92.1792	75.1332	89.8276	12.0416	27.0185	86.3134	69.2892	105.7592
65.0000	7.0000	118.8276	91.1976	73.8241	115.1086	100.4191	56.0803	63.0317	14.0357	107.2986	inf	24.0832	49.0102	18.9737	116.0000	87.3212	29.6142	93.7443	2.0000
41.4367	24.5153	102.0784	67.1193	52.6308	99.8499	83.2346	42.7200	39.0000	10.0499	92.1792	24.0832	inf	52.3259	24.0832	99.2975	69.0290	6.4031	69.8570	24.0000
70.2353	42.0119	89.0505	99.7447	65.5134	82.3650	74.0405	35.5106	77.8010	49.7293	75.1332	49.0102	52.3259	inf	31.4006	86.4060	66.3702	51.3128	96.1353	47.0106
57.0351	12.5300	101.9804	85.8429	61.4003	97.6217	84.0238	39.0512	59.2030	18.7883	89.8276	18.9737	24.0832	31.4006	inf	99.1564	71.8679	25.9422	86.0000	17.0880
70.0928	111.0360	2.8284	78.7718	51.2445	8.6023	16.1245	60.1415	83.7437	106.0424	12.0416	116.0000	99.2975	86.4060	99.1564	inf	30.8707	93.1933	67.0820	114.5600
40.1995	83.0060	33.5410	55.4617	21.0950	33.5410	14.8661	33.6155	54.1479	76.3806	27.0185	87.3212	69.0290	66.3702	71.8679	30.8707	inf	62.8013	45.4863	86.0523
35.4401	29.0172	95.9635	62.0000	46.2277	93.9415	77.1038	37.6563	34.2345	15.8114	86.3134	29.6142	6.4031	51.3128	25.9422	93.1933	62.8013	inf	64.1327	29.2746
29.0689	92.6553	68.7314	12.0416	31.9061	73.4983	55.7136	61.3270	33.1210	79.8311	69.2892	93.7443	69.8570	96.1353	86.0000	67.0820	45.4863	64.1327	inf	93.3809
64.5368	5.0000	117.3882	91.0879	72.8972	113.5694	99.0353	54.5619	63.0000	14.0357	105.7592	2.0000	24.0000	47.0106	17.0880	114.5600	86.0523	29.2746	93.3809	inf
